pair;direction;rsi;signal_time;entry_time_str;exit_time_str;entry_price;exit_price;pnl_percent;hold_time;dynamic_sl;status;exit_reason;filter_info;filtered_out;;;;;
BTCUSDT;Long;33.531792436223256;25.08.2025 6:15;25.08.2025 6:15;0;112361.1;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;30.627334948062582;25.08.2025 7:00;25.08.2025 7:00;25.08.2025 13:25;111990.6;111663.5;-0,292078085;6.416666666666667;108630.882;Loss;Reverse Signal (Short);;0;;;;;
BTCUSDT;Long;31.57684240242645;25.08.2025 7:35;25.08.2025 7:35;25.08.2025 13:25;111772.0;111663.5;-0,097072612;5.833333333333333;108418.84;Loss;Reverse Signal (Short);;0;;;;;
BTCUSDT;Long;31.80979083337904;25.08.2025 7:55;25.08.2025 7:55;0;111522.1;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;42.578248184506826;25.08.2025 8:10;25.08.2025 8:10;0;111624.5;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;60.92085827370322;25.08.2025 15:35;25.08.2025 15:35;0;112374.7;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;55.909149176604025;25.08.2025 16:50;25.08.2025 16:50;0;112564.8;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;31.370794561505548;25.08.2025 20:15;25.08.2025 20:15;0;110432.3;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;34.49563078467462;25.08.2025 20:40;25.08.2025 20:40;25.08.2025 22:45;109944.0;110351.2;0,37037037;2.0833333333333335;106645.68;Profit;Reverse Signal (Short);;0;;;;;
BTCUSDT;Short;58.313666594149346;26.08.2025 5:50;26.08.2025 5:50;0;110252.2;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;43.58253899418532;26.08.2025 11:55;26.08.2025 11:55;0;109878.1;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;34.06770462384925;26.08.2025 12:10;26.08.2025 12:10;0;109632.0;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;62.57332435902684;26.08.2025 19:00;26.08.2025 19:00;0;110609.9;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;66.86074187728408;26.08.2025 19:30;26.08.2025 19:30;0;110981.5;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;60.76832376354415;26.08.2025 20:00;26.08.2025 20:00;0;110976.2;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;66.14785285763708;26.08.2025 20:15;26.08.2025 20:15;0;111225.4;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;63.17283260035153;26.08.2025 20:35;26.08.2025 20:35;0;111224.8;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;65.09380610823683;26.08.2025 20:55;26.08.2025 20:55;0;111325.7;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;37.46630372532155;27.08.2025 1:45;27.08.2025 1:45;0;111212.0;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;37.051391534268;27.08.2025 2:10;27.08.2025 2:10;0;111149.2;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;31.045204802555773;27.08.2025 8:05;27.08.2025 8:05;0;110753.3;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;29.30157953593006;27.08.2025 8:20;27.08.2025 8:20;27.08.2025 10:10;110680.1;111086.2;0,366913293;1.8333333333333333;107359.697;Profit;Reverse Signal (Short);;0;;;;;
BTCUSDT;Long;29.19907238992738;27.08.2025 8:35;27.08.2025 8:35;27.08.2025 10:10;110569.5;111086.2;0,467307892;1.5833333333333333;107252.415;Profit;Reverse Signal (Short);;0;;;;;
BTCUSDT;Short;56.44962929803695;27.08.2025 14:40;27.08.2025 14:40;0;111924.6;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;62.45488499614012;27.08.2025 18:25;27.08.2025 18:25;0;112479.3;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;39.03900387777199;27.08.2025 22:20;27.08.2025 22:20;0;111350.4;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;73.85567567143757;28.08.2025 5:10;28.08.2025 5:10;0;112922.9;0;0;0;0;Filtered;Filtered;Secondary TF Filter: Recent bull cross at RSI_SMA=60.90;1;;;;;
BTCUSDT;Short;60.833837382370895;28.08.2025 6:45;28.08.2025 6:45;0;112963.1;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
ETHUSDT;Long;34.13381710985678;29.07.2025 15:45;29.07.2025 15:45;30.07.2025 2:40;3767.4;3816.31;1,29824282;10.916666666666666;3654.378;Profit;Reverse Signal (Short);;0;;;;;
ETHUSDT;Long;30.59450177908407;29.07.2025 16:25;29.07.2025 16:25;0;3747.25;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
ETHUSDT;Long;34.19069659495098;29.07.2025 16:40;29.07.2025 16:40;0;3737.51;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
